Entity,Time,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct,mortgage_rate_lag1,mortgage_rate_lag2,mortgage_rate_lag3,unemployment_rate_diff_12m,permits_growth_yoy_pct,cpi_inflation_yoy_pct
REIT,2011-09-01,4.106,610.0,9.0,226.597,221.50666666666666,58.4,4.27,4.545,4.51,-0.5,8.348134991119016,3.812621692818685
REIT,2011-10-01,4.0675,671.0,8.8,226.75,133.75290322580645,58.4,4.106,4.27,4.545,-0.5999999999999996,20.250896057347667,3.5222681306640524
REIT,2011-11-01,3.9925,706.0,8.6,227.169,133.72266666666667,58.6,4.0675,4.106,4.27,-1.200000000000001,26.07142857142857,3.451432214581729
REIT,2011-12-01,3.9579999999999997,697.0,8.5,227.223,186.00387096774193,58.6,3.9925,4.0675,4.106,-0.8000000000000007,10.28481012658229,3.062066838419386
REIT,2012-01-01,3.915,712.0,8.3,227.842,156.16677419354838,58.4,3.9579999999999997,3.9925,4.0675,-0.7999999999999989,23.611111111111114,3.0087663379855023
REIT,2012-02-01,3.89,738.0,8.3,228.329,112.6948275862069,58.5,3.915,3.9579999999999997,3.9925,-0.6999999999999993,36.162361623616235,2.8981784423473878
REIT,2012-03-01,3.9539999999999997,806.0,8.2,228.807,90.2490322580645,58.5,3.89,3.915,3.9579999999999997,-0.8000000000000007,38.25042881646654,2.5828752813320977
REIT,2012-04-01,3.91,732.0,8.2,229.187,94.954,58.4,3.9539999999999997,3.89,3.915,-0.9000000000000004,25.989672977624778,2.2731633741348567
REIT,2012-05-01,3.7979999999999996,796.0,8.2,228.713,120.23387096774194,58.5,3.91,3.9539999999999997,3.89,-0.8000000000000007,28.802588996763756,1.7379429374660749
REIT,2012-06-01,3.675,794.0,8.2,228.524,169.62566666666666,58.6,3.7979999999999996,3.91,3.9539999999999997,-0.9000000000000004,24.84276729559749,1.653870448297634
REIT,2012-07-01,3.55,849.0,8.2,228.59,171.5925806451613,58.5,3.675,3.7979999999999996,3.91,-0.8000000000000007,36.714975845410635,1.4175114798464783
REIT,2012-08-01,3.6019999999999994,840.0,8.1,229.918,149.64612903225805,58.4,3.55,3.675,3.7979999999999996,-0.9000000000000004,29.82998454404946,1.6859349154821235
REIT,2012-09-01,3.4975,930.0,7.8,231.015,146.60366666666667,58.7,3.6019999999999994,3.55,3.675,-1.2000000000000002,52.45901639344262,1.9497168982819613
REIT,2012-10-01,3.3825000000000003,887.0,7.8,231.638,161.69774193548386,58.8,3.4975,3.6019999999999994,3.55,-1.0000000000000009,32.19076005961252,2.1556780595369363
REIT,2012-11-01,3.3519999999999994,917.0,7.7,231.249,208.19033333333334,58.7,3.3825000000000003,3.4975,3.6019999999999994,-0.8999999999999995,29.886685552407922,1.7960197033926262
REIT,2012-12-01,3.3449999999999998,941.0,7.9,231.221,211.77129032258065,58.7,3.3519999999999994,3.3825000000000003,3.4975,-0.5999999999999996,35.00717360114778,1.7595049796895523
REIT,2013-01-01,3.414,940.0,8.0,231.679,204.00322580645164,58.6,3.3449999999999998,3.3519999999999994,3.3825000000000003,-0.3000000000000007,32.02247191011236,1.684061762098299
REIT,2013-02-01,3.5324999999999998,980.0,7.7,232.937,145.20964285714285,58.6,3.414,3.3449999999999998,3.3519999999999994,-0.6000000000000005,32.79132791327912,2.0181404902574807
REIT,2013-03-01,3.565,936.0,7.5,232.282,137.8290322580645,58.5,3.5324999999999998,3.414,3.3449999999999998,-0.6999999999999993,16.129032258064523,1.5187472411246183
REIT,2013-04-01,3.4450000000000003,1012.0,7.6,231.797,89.16766666666668,58.6,3.565,3.5324999999999998,3.414,-0.5999999999999996,38.25136612021858,1.138808047576867
REIT,2013-05-01,3.536,1003.0,7.5,231.893,78.37612903225806,58.6,3.4450000000000003,3.565,3.5324999999999998,-0.6999999999999993,26.005025125628144,1.3903888279197085
REIT,2013-06-01,4.07,942.0,7.5,232.445,81.67,58.6,3.536,3.4450000000000003,3.565,-0.6999999999999993,18.639798488664994,1.7157935271568725
REIT,2013-07-01,4.37,997.0,7.3,232.9,93.22290322580645,58.7,4.07,3.536,3.4450000000000003,-0.8999999999999995,17.432273262661944,1.885471805415806
REIT,2013-08-01,4.456,964.0,7.2,233.456,92.87741935483871,58.7,4.37,4.07,3.536,-0.8999999999999995,14.761904761904754,1.538809488600279
REIT,2013-09-01,4.49,1004.0,7.2,233.544,116.71700000000001,58.7,4.456,4.37,4.07,-0.5999999999999996,7.95698924731183,1.0947341081747997
REIT,2013-10-01,4.192,1044.0,7.2,233.669,176.28096774193548,58.3,4.49,4.456,4.37,-0.5999999999999996,17.700112739571594,0.8767991434911471
REIT,2013-11-01,4.255,1029.0,6.9,234.1,83.81566666666666,58.6,4.192,4.49,4.456,-0.7999999999999998,12.213740458015266,1.2328701961954458
REIT,2013-12-01,4.4575,1005.0,6.7,234.719,90.93870967741935,58.7,4.255,4.192,4.49,-1.2000000000000002,6.8012752391073406,1.5128383667573297
REIT,2014-01-01,4.432,976.0,6.6,235.288,95.62741935483871,58.8,4.4575,4.255,4.192,-1.4000000000000004,3.8297872340425476,1.557758795574915
REIT,2014-02-01,4.3025,1039.0,6.7,235.547,83.49142857142859,58.7,4.432,4.4575,4.255,-1.0,6.020408163265301,1.1204746347724948
REIT,2014-03-01,4.3425,1067.0,6.7,236.028,72.93064516129031,58.9,4.3025,4.432,4.4575,-0.7999999999999998,13.99572649572649,1.6126949139408042
REIT,2014-04-01,4.3375,1090.0,6.2,236.468,63.76,58.9,4.3425,4.3025,4.432,-1.3999999999999995,7.707509881422925,2.015125303606169
REIT,2014-05-01,4.192,1018.0,6.3,236.918,68.4025806451613,58.9,4.3375,4.3425,4.3025,-1.2000000000000002,1.495513459621134,2.166947687079812
REIT,2014-06-01,4.1625,1010.0,6.1,237.231,68.896,59.0,4.192,4.3375,4.3425,-1.4000000000000004,7.218683651804669,2.0589816945944195
REIT,2014-07-01,4.13,1076.0,6.2,237.498,72.39387096774193,59.0,4.1625,4.192,4.3375,-1.0999999999999996,7.923771313941819,1.9742378703305974
REIT,2014-08-01,4.115,1047.0,6.1,237.46,53.53774193548387,59.0,4.13,4.1625,4.192,-1.1000000000000005,8.609958506224057,1.7150983482969062
REIT,2014-09-01,4.1625,1077.0,5.9,237.477,57.967666666666666,59.1,4.115,4.13,4.1625,-1.2999999999999998,7.270916334661348,1.6840509711232077
REIT,2014-10-01,4.036,1094.0,5.7,237.43,66.28516129032259,59.3,4.1625,4.115,4.13,-1.5,4.789272030651337,1.6095417021513292
REIT,2014-11-01,3.9975,1059.0,5.8,236.983,58.178,59.2,4.036,4.1625,4.115,-1.1000000000000005,2.9154518950437414,1.231524989320798
REIT,2014-12-01,3.864,1072.0,5.6,236.252,66.2416129032258,59.3,3.9975,4.036,4.1625,-1.1000000000000005,6.666666666666665,0.6531213919623191
REIT,2015-01-01,3.67,1049.0,5.7,234.747,80.64967741935483,59.3,3.864,3.9975,4.036,-0.8999999999999995,7.479508196721318,-0.22993097820542818
REIT,2015-02-01,3.71,1127.0,5.5,235.342,68.65714285714286,59.2,3.67,3.864,3.9975,-1.2000000000000002,8.469682386910481,-0.08703146293520536
REIT,2015-03-01,3.77,1072.0,5.4,235.976,62.27483870967742,59.2,3.71,3.67,3.864,-1.2999999999999998,0.46860356138707093,-0.022031284423873476
REIT,2015-04-01,3.6719999999999997,1166.0,5.4,236.222,66.03,59.3,3.77,3.71,3.67,-0.7999999999999998,6.972477064220173,-0.10403098939391064
REIT,2015-05-01,3.84,1272.0,5.6,237.001,62.85967741935484,59.4,3.6719999999999997,3.77,3.71,-0.7000000000000002,24.950884086444013,0.03503321824429584
REIT,2015-06-01,3.9825,1379.0,5.3,237.657,67.026,59.4,3.84,3.6719999999999997,3.77,-0.7999999999999998,36.534653465346544,0.1795718097550525
